2026-03-01T08:21:44.599865877Z [inf]  Starting Container
2026-03-01T08:21:45.971240322Z [inf]  [migration] Found 4 table(s) missing userId column — dropping for fresh recreate...
2026-03-01T08:21:45.971246683Z [inf]  [migration] Tables: push_delivery_metrics, push_delivery_failures, integration_sync_attempts, sync_queue
2026-03-01T08:21:45.971252718Z [inf]  [migration] Dropped 4 tables. initializeSchema() will recreate them.
2026-03-01T08:21:45.971258928Z [inf]  [auth] Admin email configured (wathne.sveinung@gmail.com) — will be promoted to admin on OAuth login.
2026-03-01T08:21:45.974081244Z [inf]  [companion] listening on http://localhost:8080
2026-03-01T08:21:45.974085690Z [inf]  [companion] storage backend=postgres-snapshot sqlite=/app/companion.db restoredSnapshotAt=2026-03-01T08:21:00.406Z
2026-03-01T08:21:45.974090607Z [inf]  [push] VAPID keys=configured subject=mailto:wathne.sveinung@gmail.com
2026-03-01T08:21:45.975155875Z [inf]  [push] subscriptions=15
2026-03-01T08:21:45.983265582Z [inf]  [orchestrator] started — polling every 30s for due notifications
2026-03-01T08:23:57.122539013Z [inf]  [google-cal-oauth] Callback hit: state=g6khpa8ssc code=present error=none pendingMatch=false
2026-03-01T08:25:57.740419026Z [inf]  [canvas] connect: userId=user-1771361993528-1 availableCourses=9
2026-03-01T08:26:02.746582060Z [inf]  [canvas] sync start: userId=user-1771361993528-1 override=true courseFilter=17651,17649,17653
2026-03-01T08:26:05.076400660Z [inf]  [canvas] sync success: userId=user-1771361993528-1 courses=3 assignments=0 modules=9 announcements=3 deadlines_created=0
2026-03-01T08:27:05.245236715Z [inf]  [mcp] Skipping validation for GitHub (read-only repos) (OAuth flow — will validate on first tool call)
2026-03-01T08:27:05.245248261Z [inf]  [tp-github-sub-agent] scheduled background import for user=user-1771361993528-1 githubServer=github-read-only-repos-f492c062bb
2026-03-01T08:27:05.245253870Z [inf]  [notion-oauth] Generated OAuth redirect for user=user-1771361993528-1 template=notion_workspace
2026-03-01T08:27:25.268675400Z [inf]  [notion-oauth] SUCCESS: Server notion-workspace-35f1932e92 stored. Redirecting to frontend.
2026-03-01T08:27:25.268728753Z [inf]  [notion-oauth] Callback hit: state=mcp_notion_wx8el code=present error=none pendingMatch=true
2026-03-01T08:27:25.268734356Z [inf]  [notion-oauth] Exchanging code for user=user-1771361993528-1 template=notion_workspace...
2026-03-01T08:27:25.268739813Z [inf]  [notion-oauth] Token exchange success: workspace=Your Notion
2026-03-01T08:27:25.268745500Z [inf]  [mcp] Skipping validation for Notion Workspace (OAuth flow — will validate on first tool call)
2026-03-01T08:27:26.638641730Z [inf]  [google-cal-oauth] Generated OAuth redirect for user=user-1771361993528-1 template=google_calendar state=mcp_gcal_nwx...
2026-03-01T08:27:26.638647572Z [inf]  [google-cal-oauth] Redirect URL: https://accounts.google.com/o/oauth2/v2/auth?client_id=471708703673-4nimou2q5baqeekikpef3tal9377kdcu.apps.googleusercont...
2026-03-01T08:27:46.488654081Z [inf]  [tp-github-sub-agent] user=user-1771361993528-1 server=github-read-only-repos-f492c062bb imported=0 updated=0 skipped=3
2026-03-01T08:27:46.488660270Z [inf]  [google-cal-oauth] Callback hit: state=mcp_gcal_nwxityw code=present error=none pendingMatch=true
2026-03-01T08:27:46.488665630Z [inf]  [google-cal-oauth] Exchanging code for user=user-1771361993528-1 template=google_calendar...
2026-03-01T08:27:46.488670673Z [inf]  [google-cal-oauth] Exchanging code: redirectUri=https://companionserver-production.up.railway.app/api/auth/google/callback clientId=471708703673-4nimou2...
2026-03-01T08:27:46.488675180Z [inf]  [google-cal-oauth] Token exchange success: expiresIn=3599s refreshToken=present
2026-03-01T08:27:46.488679646Z [inf]  [google-cal-oauth] Token exchange OK: accessToken=present refreshToken=present expiresAt=2026-03-01T09:27:37.660Z
2026-03-01T08:27:46.488685656Z [inf]  [google-cal-oauth] Saving MCP server for Google Calendar (skipping validation — OAuth tokens are fresh)...
2026-03-01T08:27:46.488690258Z [inf]  [mcp] Skipping validation for Google Calendar (OAuth flow — will validate on first tool call)
2026-03-01T08:27:46.488695134Z [inf]  [google-cal-oauth] SUCCESS: Server google-calendar-85546cccf7 stored. Redirecting to frontend with connected status.
2026-03-01T08:27:46.488699699Z [inf]  [google-cal-oauth] Redirect: https://invaron.github.io/companion/?tab=settings&section=integrations&connector=mcp&oauthStatus=connected&oauthMessage=Google+Calendar+connected
2026-03-01T08:27:46.488706427Z [inf]  [withings-oauth] Connect requested for user=user-1771361993528-1
2026-03-01T08:27:46.488710953Z [inf]  [withings-oauth] Redirecting to Withings OAuth: state=96f66e7a5f9f...
2026-03-01T08:27:56.362425699Z [inf]  [withings-oauth] Callback hit: code=present state=96f66e7a5f9f... error=none
2026-03-01T08:27:56.362432230Z [inf]  [withings-oauth] State matched user=user-1771361993528-1, exchanging code...
2026-03-01T08:27:56.362438823Z [inf]  [withings-oauth] Token exchange OK, storing user_connection...
2026-03-01T08:27:56.362445750Z [inf]  [withings-oauth] SUCCESS: Redirecting to frontend
2026-03-01T08:29:17.173948775Z [inf]  - Daily meal edits are temporary for that day; a new day resets to the default baseline snapshot automatically.
2026-03-01T08:29:17.173964602Z [inf]  - Treat loaded meal-plan snapshots as planned meals, not automatically eaten meals.
2026-03-01T08:29:17.174199017Z [inf]  [chat] user message: userId=user-1771361993528-1 text="Add the content in this image into my schedule" attachments=1
2026-03-01T08:29:17.174433559Z [inf]  [gemini] system prompt: userId=user-1771361993528-1 length=11957 tools=54 messages=25
2026-03-01T08:29:17.174438732Z [inf]  [gemini] system instruction:
2026-03-01T08:29:17.174443416Z [inf]  You are Companion, a personal AI assistant for Bunnyflake.
2026-03-01T08:29:17.174448670Z [inf]  
2026-03-01T08:29:17.174453610Z [inf]  Core behavior:
2026-03-01T08:29:17.174458615Z [inf]  - For factual questions about schedule, deadlines, or connected external systems, use tools before answering.
2026-03-01T08:29:17.174471041Z [inf]  - Companion has a built-in schedule ("in-app schedule") managed by createScheduleBlock/updateScheduleBlock/deleteScheduleBlock/getSchedule/clearScheduleWindow. This always works — it does not require any external calendar integration.
2026-03-01T08:29:17.174477173Z [inf]  - For simple greetings/small talk (for example "hi", "hello", "yo"), reply naturally without tool calls.
2026-03-01T08:29:17.174482108Z [inf]  - For habits and goals questions, call getHabitsGoalsStatus first. For create/delete requests, use createHabit/deleteHabit/createGoal/deleteGoal. For check-ins, use updateHabitCheckIn/updateGoalCheckIn.
2026-03-01T08:29:17.174486993Z [inf]  - For nutrition requests, use nutrition tools and focus on macro tracking only: calories, protein, carbs, and fat.
